feature_family,spec_section,evidence_class,stars,supporting_refs,evidence_type,hypothesis_tier,implementation_note,physical_hypothesis,gds_observable,unit,expected_confounders,discrimination_test,falsification,implemented_in,promotes_to_rule_by,emits
metal_density,4A,GDS_GEOMETRY,5,vanstreels2020beol;zahedmanesh2019metallization,actual fracture + ERR,tier1,Non-monotonic. Two-sided tests only; sign may reverse between top and intermediate layers,Metal fraction sets the layer's effective stiffness and how load transfers into the ULK beneath it,metal area / window area,dimensionless,die position; correlates with perimeter and via density,tests/test_section26_discrimination.py::test_same_density_different_perimeter,label permutation returns a uniform q distribution,library; CLI; report,held-out dies plus a layout split that changes density with bump context fixed,
via_density,4B,GDS_GEOMETRY,5,vanstreels2020beol;zahedmanesh2019metallization,actual fracture + ERR,tier1,Intermediate-ULK vs top Z-group via density act differently; keep layer identity,Via density changes out-of-plane stiffness and the number of interfaces available to fracture,via area / window area,dimensionless,metal density on the same layer; bump proximity,tests/test_via_corner_package.py::test_via_area_and_count_density_are_independent,uniform-failure null reports no information for family B,library; CLI; report,a split-lot with via density varied at fixed metal density,via_density;mean_via_area
via_count_density,4B,GDS_GEOMETRY,4,vanstreels2020beol,actual fracture,tier1,Separates many-small-vias from few-large-vias at equal area density,"Fracture counts scale with the number of vias, not their total area",via centroids per window area,um^-2,via area density,tests/test_via_corner_package.py::test_via_area_and_count_density_are_independent,"equal-area, different-count patterns must separate",library; CLI; report,a split-lot varying via count at fixed via area,
perimeter_density,4C,GDS_GEOMETRY,5,yoo2004perimeter,actual patterned ULK delamination,tier1,"Co-equal with metal_density, not a secondary diagnostic. Calibre: inside band, eps < w_min/2",Cu/low-k boundary length is the interface available for interfacial damage,clipped metal boundary length / window area,um^-1,corner and line-end density; metal density,tests/test_section26_discrimination.py::test_same_density_different_perimeter,a same-density pair must differ; a same-perimeter pair must not,library; CLI; report; Calibre deck,a dummy-pattern DOE in the manner of Yoo 2004,perimeter_density;perimeter_density_gradient
line_end_density,4D,GDS_GEOMETRY,5,tan2008delamination,actual delamination,tier1,"Measured: perimeter_density moves only ~3% for a 10x change in termination count, so this cannot be derived from perimeter. Calibre: pattern matching preferred over LENGTH/ANGLE heuristics",A terminated tip concentrates stress relative to a continuous line,elongation-guarded convex-convex caps per window area,um^-2,perimeter density; dummy fill if undeclared,tests/test_lineend_definitions.py::test_recommended_definition_is_exact_on_every_pattern,perimeter must NOT separate the same pair (it moves ~3%),library; CLI; report,a comb/tip test structure with termination count varied,
corner_density,4E,GDS_GEOMETRY,5,tan2008delamination,actual delamination,tier1,Collinear with perimeter on Manhattan layout; cluster before ranking. Calibre: VERTEX / eqDRC angle(),Re-entrant corners concentrate stress; convex ones do not equally,convex and concave polygon corners per window area,um^-2,perimeter density (r > 0.9 on Manhattan layout),tests/test_via_corner_package.py::test_corner_density_separates_straight_from_staircase,"a closed ring must report 4 convex and 4 concave, not 8 and 0",library; CLI; report,a structure varying corner content at fixed perimeter,corner_density;convex_corner_density;concave_corner_density
acute_corner_density,4E,GDS_GEOMETRY,3,tan2008delamination,actual delamination,exploratory,Degenerate on pure-Manhattan layers,,,,,,,library,,
orientation,4F,GDS_GEOMETRY,4,tan2008delamination;rabie2018cpi,actual delam + layout dependence,tier1,"Length-weighted, not polygon-count weighted. Rabie: diagonal Al cap under corner bumps",Load transfer depends on the angle between routing and the package shear direction,length-weighted axial orientation tensor,rad; dimensionless coherence,die position; bump radial direction,tests/test_bump_relative_routing.py::test_routing_direction_is_recovered,two orthogonal populations must report coherence near zero,library; CLI; report,Rabie's diagonal final-metal split applied to new hardware,horizontal_fraction;vertical_fraction;orientation_anisotropy;routing_direction_rad;orientation_coherence
density_layout_transition,5,GDS_GEOMETRY,5,rabie2018cpi,CPI/layout effect (less direct),tier1,"Gradient magnitude of any tier1 scalar. Compute in Python, not SVRF",An abrupt stiffness change concentrates load even where either local value is ordinary,"finite-difference gradient per um, die-edge ring dropped",feature unit per um,distance to die edge if the boundary ring is kept,tests/test_gradient_and_crosslayer.py::test_pipeline_recovers_a_gradient_driver_the_value_cannot_see,one-sided boundary gradients must not correlate with die-edge distance,library; CLI; report,a layout with a deliberate density step at fixed local density,stacked_dense_layer_count;stacked_sparse_layer_count;density_variance_across_layers
top_metal_distribution,8,GDS_GEOMETRY,5,rabie2018cpi;vanstreels2020beol,actual failure/CPI,tier1,"Includes top_metal_density, tile density, orientation, and their gradients",Top metal carries the package load into the BEOL; Vanstreels found topmost Z-group cross-sectional area prominent,"top-layer density, tile density, orientation and their gradients",mixed,bump and PI-opening proximity,tests/test_gradient_and_crosslayer.py::test_pair_features_preserve_layer_identity,must beat the position-only baseline under held-out dies,library; CLI; report,Rabie's corner metal tiles applied to new hardware,
